"symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDCD1",342.822038598168,1.78567708852205,0.336666517005729,5.30399370986946,1.13296218068859e-07,0.00169332527525717
"TMEM86B",179.897615011551,0.772441586000393,0.163476498971851,4.72509254148757,2.30010587086494e-06,0.009076503235138
"PSMB10",2092.29662673284,0.814636402320733,0.176631724962222,4.61206163555821,3.98694726222314e-06,0.009076503235138
"IL32",6165.02755807949,1.20051205896321,0.260490888711745,4.60865278206208,4.05286504386266e-06,0.009076503235138
"PRF1",1209.89086761133,1.60691693320819,0.348816884794365,4.60676361511426,4.08984480459241e-06,0.009076503235138
"GZMH",493.210753866951,1.71877689953129,0.376604854365856,4.56387345942592,5.02183544562165e-06,0.009076503235138
"CA11",264.405169692533,0.709298125955168,0.155565850646194,4.55947190857674,5.12824158777304e-06,0.009076503235138
"SPATA13",3353.41891705826,0.504710012473417,0.111801302810205,4.51434822123867,6.3511788017809e-06,0.009076503235138
"MT1E",1686.02305901341,1.35555206417804,0.305469921515542,4.43759587671571,9.09692059960694e-06,0.00950845252182357
"CP",14499.8916046058,1.8424286825376,0.418445345271542,4.40303304447559,1.06747899202095e-05,0.00950845252182357
"AGAP2",352.633174630652,0.704844177682123,0.160205765512538,4.39961805011919,1.08441573822899e-05,0.00950845252182357
"DBH",186.955401254395,1.76464116322762,0.403254135919907,4.37600263963098,1.20875550591896e-05,0.00950845252182357
"ABCB1",670.599167012699,1.06421328325899,0.245453648812016,4.33569958486964,1.45297270270345e-05,0.0108445616336302
"DENND1C",804.513728316421,0.801274375273951,0.186120622583004,4.30513483220598,1.66884061001937e-05,0.0108445616336302
"UBE2QL1",103.086873579219,1.25956723097552,0.294315438718373,4.27965055608512,1.87186978496904e-05,0.0108719927513934
"SMCO4",662.731936312528,0.882599520714644,0.206342453692768,4.2773530357877,1.89128737813614e-05,0.0108719927513934
"PIGR",2609.85677955785,2.36271989772254,0.559977038539492,4.21931567745151,2.4504496680247e-05,0.0135646002734434
"BID",1170.8018776418,0.399116517859849,0.0952748669109021,4.18910601295397,2.80055553105692e-05,0.0139523676557256
"HLA-L",637.717571399515,0.815610544824808,0.196147072802155,4.15815812682293,3.20823922254688e-05,0.0154458676833322
"SLC2A6",359.716227567063,0.775445991576143,0.186799375950982,4.15122367314348,3.30702372451915e-05,0.0154458676833322
"GCHFR",792.692590540644,0.947561798114739,0.230428359684152,4.11217525227173,3.91948582389863e-05,0.0169953213300458
"PLEKHF1",322.826698044423,0.837684605523699,0.203751407730044,4.11130708178257,3.93425525726564e-05,0.0169953213300458
"ODF3B",277.522489073126,0.927298698452413,0.226021136001815,4.1027078920839,4.08342661986999e-05,0.0169953213300458
"LAG3",758.337508873763,1.47408202210402,0.362416152811051,4.06737395855683,4.75459101630195e-05,0.0178871024308749
"FBP1",2912.98908216919,1.5395580861827,0.378546461147412,4.06702543596934,4.76170473595417e-05,0.0178871024308749
"NKG7",1423.19834824924,1.44070774069253,0.354349314071459,4.06578391288207,4.78712764107451e-05,0.0178871024308749
"HS3ST3B1",137.266047491879,1.42817593388157,0.352918651687063,4.04675674423678,5.19321593288539e-05,0.0185716643470683
