"symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDCD1",342.822038598168,1.78567708852205,0.336666517005729,5.30399370986946,1.13296218068859e-07,0.00169332527525717
"IL32",6165.02755807949,1.20051205896321,0.260490888711745,4.60865278206208,4.05286504386266e-06,0.009076503235138
"PRF1",1209.89086761133,1.60691693320819,0.348816884794365,4.60676361511426,4.08984480459241e-06,0.009076503235138
"GZMH",493.210753866951,1.71877689953129,0.376604854365856,4.56387345942592,5.02183544562165e-06,0.009076503235138
"MT1E",1686.02305901341,1.35555206417804,0.305469921515542,4.43759587671571,9.09692059960694e-06,0.00950845252182357
"CP",14499.8916046058,1.8424286825376,0.418445345271542,4.40303304447559,1.06747899202095e-05,0.00950845252182357
"DBH",186.955401254395,1.76464116322762,0.403254135919907,4.37600263963098,1.20875550591896e-05,0.00950845252182357
"ABCB1",670.599167012699,1.06421328325899,0.245453648812016,4.33569958486964,1.45297270270345e-05,0.0108445616336302
"UBE2QL1",103.086873579219,1.25956723097552,0.294315438718373,4.27965055608512,1.87186978496904e-05,0.0108719927513934
"PIGR",2609.85677955785,2.36271989772254,0.559977038539492,4.21931567745151,2.4504496680247e-05,0.0135646002734434
"LAG3",758.337508873763,1.47408202210402,0.362416152811051,4.06737395855683,4.75459101630195e-05,0.0178871024308749
"FBP1",2912.98908216919,1.5395580861827,0.378546461147412,4.06702543596934,4.76170473595417e-05,0.0178871024308749
"NKG7",1423.19834824924,1.44070774069253,0.354349314071459,4.06578391288207,4.78712764107451e-05,0.0178871024308749
"HS3ST3B1",137.266047491879,1.42817593388157,0.352918651687063,4.04675674423678,5.19321593288539e-05,0.0185716643470683
"HLA-F",5567.73776657368,1.01477279832181,0.251838010070922,4.0294663940365,5.59036067236887e-05,0.0194310536300523
"P4HTM",487.411951710641,1.04224421183559,0.261060359177461,3.99234956666519,6.54218355980291e-05,0.0208041437201732
"CXCR6",912.852707373149,1.50604461535533,0.378585688681314,3.97808121221161,6.94736444892405e-05,0.0216323560528373
"CD8A",2715.39538747636,1.4054350764454,0.354165184984266,3.96830387636166,7.2385994629672e-05,0.0220792056272465
"CD8B",777.849978693822,1.44777955252765,0.370611719765309,3.9064591736183,9.3658459018631e-05,0.0237257513303807
"GZMA",1377.00438561286,1.37939829345854,0.359157743297291,3.84064751269124,0.000122710208041623,0.0290207429930483
"SLC14A1",95.7110053761131,1.02178466076665,0.268727116620853,3.80231319271099,0.000143351348925766,0.0313356387788732
"SIRPG",510.638944277956,1.30397268547975,0.343525448296164,3.7958546941639,0.000147135663331749,0.0313356387788732
"SIGLEC11",174.306674164152,1.00705108569408,0.265504833294489,3.79296705524413,0.000148857912036665,0.0313356387788732
"ITGAL",2899.4304638313,1.0472962112828,0.277606663766292,3.77259031564344,0.000161561454810944,0.0326310473460049
"HGD",1604.59873227363,2.40725875597618,0.642370432674213,3.74746195268464,0.000178632922015375,0.0345269427040746
"GBP5",5011.35147975387,1.37320182343835,0.366838709478047,3.74333947851958,0.000181590626336005,0.0345269427040746
"SLA2",406.615743022399,1.20411308504332,0.323000846746101,3.72789451536588,0.000193086158497676,0.0347694665651358
"CCL5",4769.72106796049,1.32210166384579,0.355857050773049,3.71526055469102,0.000202994412940991,0.0356935823037183
"CCR5",1726.61550174698,1.04513572040992,0.281603907132148,3.71136796734665,0.000206142184193271,0.0358255940110771
"CD7",472.058120923098,1.35655787727122,0.366069317331554,3.70574045145271,0.000210774058995046,0.0361438523781932
"IKZF3",2800.43999115426,1.02937412383302,0.278293359954662,3.69888136749193,0.00021655178222374,0.0363661004170339
"CGNL1",1233.58649081478,1.06999297678693,0.290289990294453,3.68594513266405,0.00022785544132679,0.037000960686534
"MIAT",871.704527856755,1.06025080740632,0.287703643211069,3.68521856578815,0.000228506459755673,0.037000960686534
"CD247",660.114174454771,1.14723730595088,0.312162726241802,3.67512585427073,0.000237732195553717,0.037799419093041
"FASLG",261.22707379922,1.30705649856865,0.356967530204904,3.66155571017448,0.000250688332192855,0.0389855747210256
"DES",521.787165609954,1.76664552787264,0.483663426598307,3.65263410611338,0.000259563960598725,0.0389855747210256
"RORC",672.44765381806,1.82913121716716,0.50093677963858,3.65142128012013,0.000260793039115112,0.0389855747210256
"HS3ST3A1",143.459944260859,1.33130340197166,0.365066033996713,3.6467468293247,0.00026558135901729,0.0389855747210256
"FCRL6",181.823238547411,1.4478639807262,0.398195606870706,3.6360621657896,0.00027683754996396,0.0389855747210256
"IFITM10",273.118969517844,1.01050139836857,0.278435306486869,3.62921430876879,0.000284285160399227,0.0389855747210256
"CD27",399.158715440662,1.04030396038928,0.286842686734091,3.62674039988219,0.000287021597185121,0.0389855747210256
"TOX2",199.304579069317,1.1681023984277,0.322280752557825,3.62448700133934,0.000289535581027287,0.0389855747210256
"PLAAT4",2243.86427662175,1.1890111283349,0.329173440487967,3.61211137378613,0.000303714065016097,0.0391422795411231
"CCL4",1003.51342665817,1.12935072899855,0.314465467221779,3.59133465107018,0.000328988873378677,0.0396551065658459
"TBC1D10C",751.61471185347,1.11939432110448,0.312859713626143,3.57794331564887,0.000346308529202165,0.0403612395561926
"SERPINA1",127070.649684431,1.41447711044927,0.39815726097359,3.55255887332191,0.000381503637997671,0.0422366916556533
"HCG26",178.85011869236,1.00603242509012,0.286560705893916,3.5107131033609,0.000446906439379251,0.0463851641872381
"TMPRSS3",82.2407584513023,1.45383329764919,0.415581973365995,3.49830693057715,0.00046822195410498,0.0469721823250671
"GZMB",872.359963975709,1.35764581393276,0.389600564832268,3.48471212950437,0.000492666769570423,0.0486708228510509
"CD2",2079.9498146356,1.09699603469814,0.315478137154122,3.4772489928905,0.00050658713179396,0.0486708228510509
"SLC27A2",1219.22167570931,1.44337880042394,0.417184976220048,3.45980532065618,0.000540566054541702,0.0487206193257824
"KLHDC7B",134.643002919283,1.06532371310656,0.310734218013437,3.42840811004758,0.000607132027438039,0.0499230831946678
"COL25A1",627.635764587552,-1.52686421282551,0.442775727398564,-3.44839185697075,0.000563935242677169,0.0487206193257824
"RIMS2",349.249955492706,-1.5148521914879,0.436752842174166,-3.46844266415515,0.000523484218612606,0.0486708228510509
"PEG10",3218.11285143042,-1.1270582772064,0.322175338473223,-3.49827607087335,0.000468276138527699,0.0469721823250671
"MPP4",102.14799857262,-1.83214848449222,0.520445598359089,-3.5203458157179,0.000430984484057656,0.0454714884731125
"HAS2",1270.13087802874,-1.10458892218805,0.302459870963479,-3.65201809638221,0.000260187544865555,0.0389855747210256
"PPP1R14C",84.4993832100262,-1.17494684809422,0.310642459959358,-3.78231246381433,0.000155378147559222,0.0319485404454287
"GYG2",2353.11444335529,-1.13152483309138,0.286944488939475,-3.9433579549599,8.03485894717091e-05,0.0224753164002387
"ATP6V0A4",218.52395794426,-1.82457052277013,0.406379980963515,-4.48981398750039,7.12853969533445e-06,0.009076503235138
