"symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SDS",1042.35759894953,2.67911961313874,0.476424892101555,5.62338294567459,1.87253663046093e-08,7.27996383883281e-06
"SERPINF2",435.073289660564,2.91542253808329,0.524431788278006,5.5592025564587,2.71010029129318e-08,1.0325482109827e-05
"FCN3",172.602879452152,2.59685660039541,0.471618713109322,5.50626285219827,3.66531141508925e-08,1.36910161681275e-05
"GCHFR",621.546368535644,2.23110223164555,0.406442735580282,5.48933966911767,4.03439134291522e-08,1.47798375158721e-05
"C5",982.742560873951,2.57548019231049,0.469736998609402,5.48281314849561,4.18615096301993e-08,1.50464482727415e-05
"SLC9A3R2",1013.51591871377,1.76413045585523,0.322863491543475,5.46401343621002,4.65488279780439e-08,1.64213920922544e-05
"STARD10",1099.6206398927,2.0181045224967,0.372145419055382,5.42289228662082,5.86423327586273e-08,1.99488649830688e-05
"SERPINA1",20673.3568996476,3.04097971860588,0.562682908391154,5.40442880573851,6.50152400805027e-08,2.13541435091996e-05
"PRR15L",35.8582264558507,4.85825598308871,0.904188706981365,5.3730553650775,7.74135463274307e-08,2.45788009589593e-05
"CLU",12666.4320329999,3.02722392342325,0.564379427194844,5.36380983706223,8.14846900349128e-08,2.51521326083492e-05
"UGT2B17",77.417685052378,5.64375109790591,1.05235351120771,5.3629802512171,8.18599591452835e-08,2.51521326083492e-05
"C8G",95.2267728704758,3.21601741217028,0.600567684344913,5.35496247301125,8.55741757073566e-08,2.58760007496055e-05
"TREM2",1191.39297352624,2.30939887106644,0.432453559449786,5.34022398614247,9.28318143446682e-08,2.76319697385302e-05
"MBL2",73.4929594550433,5.8756848889455,1.10157042240508,5.33391671511748,9.61166213405241e-08,2.81695636390305e-05
"C8B",213.376956974769,12.2287834808545,2.29549555301179,5.32729565291897,9.96858301425939e-08,2.87729555184305e-05
"PSCA",385.232653376715,3.93274994806561,0.741735004127615,5.3020956624409,1.14480820827343e-07,3.2550143832252e-05
"AKR7A3",149.893692161836,2.92920387700831,0.55686290152024,5.26018858324295,1.43907734169776e-07,4.0315328469621e-05
"OIT3",92.5288829016898,3.58312825102316,0.681779412821898,5.25555360522331,1.47579858352304e-07,4.0744873936397e-05
"ASGR1",258.389485086489,2.83237433951758,0.539374538494227,5.25121995455092,1.51095120096623e-07,4.11194576834381e-05
"INHBE",40.7615383957655,3.08841945005622,0.590180090858092,5.2330119194055,1.66769980801805e-07,4.3892772152673e-05
"LBP",319.08800170684,4.16990837498051,0.797086719674202,5.23143626917395,1.68198024522054e-07,4.3892772152673e-05
"HS3ST2",1128.20912262052,2.99149594578183,0.574369483094659,5.20831282620358,1.90565449998456e-07,4.84036242996077e-05
"MN1",253.794052826718,2.11164386217479,0.406993884509572,5.18839211729023,2.12117589042395e-07,5.31689483060213e-05
"ABCC3",886.27398412351,2.20480653871357,0.425371867837521,5.18324483920912,2.18058480453718e-07,5.39482344499134e-05
"NUDT16L2P",136.628003495544,1.92931319317867,0.374411015098527,5.15292850738103,2.56449752232971e-07,6.0578711994066e-05
"CFHR1",1196.53498445617,2.75814885572895,0.535344071786331,5.15210497526494,2.5757877540784e-07,6.0578711994066e-05
"SERPINA10",209.320105041334,9.06299239985564,1.76725026323342,5.12830162677339,2.92367751403481e-07,6.76551474691514e-05
"CYP3A4",372.593281201839,5.24224925534894,1.02296031905845,5.12458710047914,2.98190480046138e-07,6.76551474691514e-05
"CYP2C8",321.463144927069,5.4192203508858,1.05751118149784,5.12450406738025,2.98321910100195e-07,6.76551474691514e-05
"RGN",114.321617403133,3.28093153350356,0.642839831935686,5.10380871021042,3.32884768779108e-07,7.37378470376978e-05
"PIGR",115.164232746646,3.95417872640712,0.776853007260532,5.08999603457931,3.58071002421116e-07,7.84052022542788e-05
"OTC",44.4085115420606,6.16735486938977,1.21546620183231,5.07406529288308,3.89405340867863e-07,8.42974061765089e-05
"PCK2",2193.62168750588,1.49555224171235,0.294940847726269,5.07068537044537,3.9638561357169e-07,8.48443363880976e-05
"AMDHD1",209.924718504553,2.7434570087928,0.542802539007018,5.05424498163103,4.3209668489397e-07,9.14604649692236e-05
"FTL",249125.922585734,1.62289103781061,0.321307964091481,5.05088954890813,4.39757309086405e-07,9.20590850340221e-05
"HSD17B6",246.144277741838,2.80240831041059,0.555814985702408,5.04198048361194,4.60738288020199e-07,9.39644285376618e-05
"SLC16A13",99.5359830877856,1.71092362585441,0.339416952539592,5.04077245715897,4.6365649777114e-07,9.39644285376618e-05
"CHDH",255.948965440349,2.789307593226,0.553970781443833,5.03511680878933,4.77557534105816e-07,9.57628528917452e-05
"CA9",87.1650052976196,3.61795259088059,0.720863141377114,5.01891743829345,5.1963474866807e-07,0.000102564166586609
"MYO1A",32.664724809495,2.40645195566078,0.479605132182052,5.01756923390745,5.23293462118403e-07,0.000102564166586609
"AOX1",2022.72716399235,2.99872893470225,0.598204752065356,5.01288049676781,5.3621201367924e-07,0.000102564166586609
"ALDOB",1878.56404828449,4.90592357384187,0.979021293911344,5.01104889582323,5.41341563678418e-07,0.000102564166586609
"GIPC2",127.059437218146,2.21205644379856,0.441704066624473,5.00800561041517,5.49969320229694e-07,0.000102564166586609
"ADH6",161.783820654534,3.77169893006294,0.753373996662035,5.00640976032377,5.54546412515523e-07,0.000102564166586609
"ANGPTL3",618.682826774814,5.28140076372999,1.05637932283062,4.99953061328221,5.74700475574799e-07,0.000105269654420192
"C6",702.578290098736,4.57847762741122,0.917886895038471,4.98806296522985,6.09876933154188e-07,0.000110649100729403
"LLGL2",397.78215638527,1.83109100885142,0.367281110397583,4.98553003956358,6.17921773475673e-07,0.000111051035704826
"IGFBP1",265.063004926561,8.60802452181357,1.73127748755751,4.97206518520483,6.62434225846864e-07,0.0001168460370591
"PROC",74.9082502487067,3.51461086623298,0.708988534985891,4.95721819578214,7.15096531937516e-07,0.000122445467535344
"ABAT",1046.35947886625,2.10251171888987,0.424390492454058,4.95419137863337,7.26316946535114e-07,0.000122445467535344
"OXER1",84.1959097959971,2.25713655628811,0.456584539902416,4.94352383628784,7.67229644654132e-07,0.000128208111672467
"BCAR3-AS1",13.2302263299677,3.30222312891204,0.671100867693403,4.92060625739004,8.62765443043551e-07,0.000136437750253614
"DPYS",111.838527987652,3.03603294394664,0.617113044542218,4.91973548573876,8.66612481925844e-07,0.000136437750253614
"ATP6V0D2",327.481342260847,2.6992329854243,0.549852174746598,4.9090157489479,9.15346280166793e-07,0.000142929070796536
"AKR1C3",846.616129575404,2.32510342248342,0.473876599691995,4.90655884674336,9.26881883806526e-07,0.000143553657613938
"CFHR2",438.290816721952,11.7456763483225,2.39482899459287,4.90459919052356,9.36183044533104e-07,0.000143824895148029
"CGNL1",784.292890811622,2.18668938670363,0.447310462766895,4.88852725057578,1.01593136521588e-06,0.00015359914688383
"SLC38A4",320.355717302762,4.17535448381123,0.854816881238676,4.88450166983239,1.03690764054023e-06,0.000155536146081035
"ATP2B2",61.5882099083296,3.59501780755427,0.744088449138858,4.83143880504371,1.35549883227717e-06,0.00019970199012283
"CREB3L1",446.093439202352,2.19507763850631,0.454432609062728,4.83036999266774,1.36279573312167e-06,0.00019970199012283
"HMGCS2",791.815371721115,6.9050214205798,1.43828434827536,4.80087364425509,1.57974926487357e-06,0.000229726896914821
"CFHR5",160.081714803478,10.8264239795795,2.25762052912822,4.79550209607641,1.62267873034895e-06,0.000231754133769058
"GCKR",65.4181253833188,4.33646295991323,0.90458182660273,4.79388689047552,1.63580527132533e-06,0.000231754133769058
"SLC39A5",25.4873766308332,3.52586215051069,0.735614212109205,4.793085957925,1.64235212907206e-06,0.000231754133769058
"SLC27A2",218.39306895347,2.45274152187094,0.511941086312915,4.79106207227083,1.65900787946425e-06,0.000232383088998485
"RBP4",1371.80662640033,4.06654955277778,0.851967244024109,4.77312899210794,1.81385532931427e-06,0.000250390898720557
"POU2AF1",656.487292403539,2.73249977022957,0.573295780779276,4.7663001575126,1.87639661643223e-06,0.000257160831244849
"LOC100130872",89.8221237963153,1.78519645187432,0.377311040245719,4.73136553521395,2.2301452160429e-06,0.000297009432656237
"TJP3",43.8342178675042,2.88371098172893,0.609663033208629,4.73000793003979,2.24511067204715e-06,0.000297009432656237
"MAOA",926.605065980169,2.29234779874782,0.484874420570123,4.72771443800324,2.27061212429062e-06,0.000298311454949906
"METTL7A",4056.10972420096,1.82107245388146,0.385315478846728,4.72618556444198,2.28776600377191e-06,0.000298506454601745
"GHRL",59.9992456144092,2.86914164295809,0.607590866128036,4.72216059013875,2.33352308174825e-06,0.000302405542226559
"ACE",1068.91529720095,1.57070996931987,0.332874711416543,4.71862209849388,2.37447438494306e-06,0.000305633358332198
"SIGLEC8",483.939448284228,2.213385265456,0.469938781105579,4.70994383619243,2.47785062733849e-06,0.000314687029671988
"PIPOX",158.123466843669,2.26521081006354,0.483314257103329,4.68682803532373,2.77471921216182e-06,0.000345479745043677
"HYAL1",512.005170608458,2.31742971495162,0.495402055056121,4.67787666865671,2.89860790320434e-06,0.000358561562052225
"FTCD",85.6498200821326,3.79507077426537,0.812697474083629,4.66972138500192,3.01608510824649e-06,0.000365237357948808
"PLEKHA7",232.662610540206,1.44591662660803,0.309696008952653,4.66882550891732,3.02926522603211e-06,0.000365237357948808
"UICLM",16.1965036159286,3.49986864057389,0.750904840264214,4.66086839890715,3.14878015507648e-06,0.000372573055616192
"CCDC68",124.01614122687,2.56400086527389,0.550422702192285,4.65823966755314,3.18924787548178e-06,0.00037503192609832
"KRT36",11.8426372894892,2.14359391374198,0.462470037400924,4.63509793150915,3.56768536630682e-06,0.000414417111147225
"RNASE4",1737.57925208006,1.83753014373872,0.397065475186809,4.62777616934387,3.69613172046902e-06,0.000424214082783542
