"symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APCS",36.5606597984529,7.58378438250856,1.37362742587536,5.52099080118156,3.37093429086959e-08,1.63317655497155e-05
"PLIN5",105.827552738728,3.40123456892522,0.618051938709569,5.50315330460197,3.73057752628312e-08,1.72335330190902e-05
"UGT2B10",25.7577945075106,6.61664401904621,1.20955791099266,5.4702994862115,4.4927574216147e-08,2.0282757596126e-05
"AFM",19.4574549144179,8.12649051878541,1.51349876277978,5.36934070818786,7.9025001103735e-08,3.48833915983243e-05
"BHMT",49.9255223413749,4.7534560684247,0.90411531090005,5.25757722617552,1.45965605496086e-07,6.30317562516142e-05
"PRG4",923.016352976901,3.73811229653462,0.712233227324006,5.24843850739654,1.53393824454153e-07,6.4830104871432e-05
"VTN",191.603855192263,3.27989865719467,0.631678611812366,5.19235350993478,2.07652242450122e-07,8.35939601918681e-05
"LGALS4",30.0408056335307,3.2267229283139,0.621732153576481,5.18989231898713,2.10415727426168e-07,8.35939601918681e-05
"HP",1322.66115410577,3.87855151583018,0.755918602328138,5.1309115874179,2.88342330166519e-07,0.000110238404766513
"CFHR2",31.7221129946079,7.62836529597946,1.48679194152071,5.13075507268157,2.88582211430661e-07,0.000110238404766513
"SERPINA4",64.1622559848773,9.9528286465215,1.97775100779718,5.03239720636368,4.8438434475757e-07,0.000178181678227118
"TSPAN8",206.666470277304,3.80072188996166,0.75799028442914,5.01420924256842,5.32520116779131e-07,0.000192326901812739
"PSCA",311.957048325796,3.43518857865872,0.697063954967725,4.92808235769095,8.30406150678353e-07,0.000289389259246926
"G6PC",16.4077236451144,5.52714484138825,1.12447090645928,4.91532934257239,8.86333306786885e-07,0.00030355387596577
"SULT2A1",60.3047750245936,9.65181651833035,1.97388846649764,4.88974766414032,1.0096531993588e-06,0.000334262519201055
"AKR1C1",737.602704044475,2.94710454371406,0.612411216127228,4.81229681316255,1.49205537285683e-06,0.000455972121945046
"C4BPB",28.270609615893,3.47871376853427,0.724154505010465,4.80382811190824,1.55660472868647e-06,0.000463605370107843
"CYP4A11",23.2006812665358,6.45529199917905,1.34403586395008,4.80291647888558,1.56371122619943e-06,0.000463605370107843
"ADH1A",92.67854637484,3.6353707368788,0.773407416095566,4.70046014716466,2.59575912845552e-06,0.000716141101772785
"LCN10",97.0546562002108,2.77347986237517,0.590784201855967,4.6945735069797,2.67163531291252e-06,0.000723909918923461
"SERPIND1",36.7792872904526,3.77417413505841,0.804272459494006,4.69265618946204,2.69680497383891e-06,0.000723909918923461
"PON1",25.5880447504993,5.06110590215835,1.09140574077121,4.6372359179475,3.53099311117245e-06,0.000922890094214861
"SERTM2",16.8608321352303,4.63025576868775,1.00221954196238,4.62000148153325,3.83737303856358e-06,0.000989942571922429
"SERPINA10",11.4627470400833,5.93403826462807,1.29007630234162,4.59975759097132,4.22982861530648e-06,0.00107719635403138
"ST6GALNAC1",75.5545097550322,2.82189097989881,0.614561091177089,4.59171760205963,4.39612956115902e-06,0.00110537617218814
"GSTA1",150.28518275374,4.60085841279986,1.00435815548303,4.5808941637828,4.62992117038044e-06,0.00112157017229801
"TTR",170.818801892471,3.27621189012491,0.722351118486243,4.53548393057179,5.74715541928607e-06,0.00137543970179155
"F9",14.5094819762339,6.75931044924496,1.49629080017549,4.51737753680782,6.26102162474118e-06,0.00146316392416304
"HABP2",27.2530469764574,4.8649526558074,1.08457182357081,4.48559749578425,7.27098888994796e-06,0.00166012555528651
"CYP8B1",25.2020993067178,4.69667956870262,1.04859131159187,4.47903727294152,7.49804415456236e-06,0.00169251305779803
"HPR",165.27515200158,3.5883688445324,0.802036299151243,4.47407286718793,7.67435695844203e-06,0.0016953667473065
"AKR1C2",857.353247366997,2.80020389692217,0.625900917796273,4.47387728201674,7.68138377253249e-06,0.0016953667473065
"ADH6",31.7775481916904,2.57534814631825,0.579614237125065,4.44321064142971,8.86263217877812e-06,0.00193458599559614
"FGG",422.952380737103,4.6337238987177,1.04460813006308,4.43584897088433,9.17101313385553e-06,0.00198014135750985
"GCNA",139.781273404104,1.45185274429306,0.3402411240757,4.26712893168681,1.98004735348341e-05,0.00397289501309036
"SLC10A1",11.8416781945027,4.0215500873186,0.948265298963018,4.24095460596987,2.22571151324948e-05,0.00441001049212936
"GPR88",21.543564205607,2.50163815973285,0.598662245179006,4.1787137570114,2.9316238004832e-05,0.00559940145892292
"SLC2A2",50.9896597526799,7.67439469586128,1.84334823823257,4.16329076442963,3.13693484361463e-05,0.00587849752203405
"GLYATL1",16.9203309304788,3.64147247477774,0.886547683198758,4.10747503353561,4.00008000356018e-05,0.00737629335954905
"PLEKHA7",204.650324795005,1.47995954502829,0.363576183579785,4.07056240718673,4.68997746631614e-05,0.0085469460909086
"CETP",366.939757524089,2.00123594712762,0.494767035368934,4.04480453237019,5.23667976238517e-05,0.00937129790991163
"DIO1",12.4821040449554,2.31405503026958,0.573962288899486,4.03171963563415,5.53702170275093e-05,0.00982030349137897
"PKIB",280.500657552803,1.91229309326076,0.476487165420648,4.01331501043173,5.98719272096929e-05,0.010432420720117
"SERPINA6",21.181017063211,6.49204877298495,1.63007422867283,3.98267064087665,6.81451634187891e-05,0.0115695344115455
"CXCL13",1226.25919578613,2.67707768215946,0.675207476449497,3.96482233318353,7.34506334149918e-05,0.0120987845855351
